Index,Index1,Comments
587,25257,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=30m00s"">30:00</a>"
588,25296,Lol two actors
589,25411,Wow..
590,25442,L tate here
591,25454,Top g
592,25542,Top G
593,25628,Tate win
594,25699,Tate &gt; Morgan.
595,25736,$wine
596,25739,Brave
597,25799,😂
598,25831,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=13m00s"">13:00</a> 😂😂😂😂"
599,25852,PIERS YOU ARE POOR !
600,25923,umgawa
601,26009,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m02s"">2:02</a> 😂😂😂😂"
602,26033,Top G! Top G! TOP G!!!
603,26072,Tate:Respekt!
604,26088,TopG!
605,26162,Much love top G
606,26191,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m30s"">14:30</a> 😂😂😂"
607,26278,...
608,26307,FREEEEE PALESTINE
609,26354,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=03m51s"">03:51</a>"
610,26387,I AM A HUMANIST😂😂PIMP
611,26403,NAKBA MY FRIEND. THAT IS WHAT ISRAEL DID 😂
612,26404,"Great interview, very entertaining."
613,26478,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=27m00s"">27:00</a>"
614,26504,Top G
615,26621,TOP FKN GGG
616,26689,Top G
617,26709,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m15s"">14:15</a>"
618,26711,I Love Sir
619,26733,LEVEL ARGUMENT S BY TATE SALUTE AND RESPECT BRO
620,26768,Thank you Mr Tate
621,26797,Yooooooooo
622,26823,😂
623,26832,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m48s"">22:48</a>"
624,26861,Lol
625,26876,😂😂😂😂😂😂😂😂😂😂😂😂
626,26878,Great conversation.
627,26885,On top G’s orders 😂😂
628,26907,TRUE WORDS
629,26913,Respect
630,26928,Tate 100%&amp;
631,26948,TOP G
632,27011,Top G
633,27025,Not my man Dr. J.Peterson
634,27029,TOP G
635,27031,Woaaahhh tate
636,27087,Like my comment.
637,27149,Top G
638,27159,Fake news
639,27171,TOP G
640,27182,Double standards
641,27188,IC Pro
642,27229,Nice man
643,27251,tate &lt;3
644,27257,Tate top G
645,27282,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m30s"">14:30</a>😂😂"
646,27300,😂sweetness
647,27466,top G
648,27473,Top G
649,27579,Love you Tate.
650,27655,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=27m50s"">27:50</a> 😂😂"
651,27663,Long live Top G
652,27665,FREEDOM FIGHTERS
653,27682,Bravo Tate!
