Index,Comments
18399,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=28m45s"">28:45</a>"
18443,Thanks Tate for your bravery
18454,common Tate W
18573,Tate for President.
18579,FREE PALESTINE
18614,Top G😙😙
18628,Top G speaking facts
18630,Top G
18672,😂😂😂😂
18682,I love adrew
18789,😂😂😂😂😂
18817,Fake news
18818,😂😂😂I love it
18959,"@<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=4m45s"">4:45</a>"
18977,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=29m00s"">29:00</a>"
19041,Based Tate!
19226,Peanut Morgan
19300,&quot;DO YOU CONDEMN WHAT HAMAS DID ON THE OCOTBER OF 7TH?!&quot; <br>lol
19344,Free Palatine
19359,lol
19369,Top G
19375,Top G
19379,PIERS MORGAN
19473,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=3m53s"">3:53</a>"
19527,WHY DO YOU LOVE OCTOBER 7th. WHY DON’T YOU ANSWER THE FOLLOWING DAYS
19559,WEST BANK=NO HAMAS.
19561,DO YOU CONDEMN THE TORTURE AND KIDNAPPING OF PALESTINIAN CHILDREN FROM THE WEST BANK.
19608,Flop G
19886,Top G For A Reason <br><br>My G
19893,Rare Tate L
19901,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=26m55s"">26:55</a> lolz"
19913,top g
19923,Go tate
19940,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m46s"">18:46</a>"
19971,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m48s"">22:48</a> <br>Tate had him"
19982,Top g
20009,brave man
20105,Tates first L
20106,Viva top g
20117,is tate wearing lipstick 😂
20301,Extremely professional
20347,ISRAELI BIGGEST PROBLEM NOT ENOUGH WOMEN IN GOVERNMENT....
20421,Top G
20443,Top g
20483,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=0m57s"">0:57</a>"
20575,top g..
20690,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m50s"">22:50</a> gottem"
20732,Team Tate
20850,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m52s"">22:52</a> - 23 : G E N I U S"
20862,Nonsense
20906,Tate L
20919,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=21m47s"">21:47</a>"
21027,Top G
21094,TATE IS GODSENT TO OPPOSE THE DEVILISH THINGS....AS MUCH AS TATE CAN DO
21102,"HE MAKE MONEY FOR WAR, THIS MAN IS DANGER"
21108,Lmao
21132,Great show!
21133,Top G won
21227,TATE WIN EZ
21314,However 😂
21332,Thank you
21375,ITS NOT WAR ITS GENOCIDE.
21430,respect topg
21449,Assineties
21476,Blame Game
21525,"READ THE COMMENT PIERS , YOU ARE VERY DELUTED AND HYPROCITE"
21634,Asininities On top G’s orders!😂
21656,Common Tate W
21674,"Bravo Adrew Tate ,"
21676,Top G
21698,tate L
21740,Top G!!
21764,God I love Tate
21866,Top g
21880,Top G
21907,Rare Tate L
21964,FREE PALESTINE
21993,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m50s"">2:50</a> LMAO"
22015,TOP G LOVE YOU 4EVER
22032,L Tate
22046,Money slave
22054,hannibal !!!!
22060,My G
22062,Tate wins
22069,😂
22171,FREE PALESTINE
22182,Tate L
22185,Top G
22203,"PIERCE MORGAN,DO YOU CONDEM 15 MAY 1948"
22240,Tate L
22307,Beast interview
22314,Great interview!!!
22331,Tate for president
22357,Great Tate.
22369,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m37s"">14:37</a>..."
22589,Shame on Tate
22609,Islam in Brain out
22646,Straight facts!!!
22691,Jenin
22730,Top g
22809,Powerful
22814,Interesting
22884,Love Tate
22896,Top G orgs
22897,Tate a goof
22901,TATE YOU ARE KING
22917,Wow ! Lfg Tate!
22968,TATE IS THE BEST!!!
22980,STOP BOMBING GAZA
23068,Tate Rocks
23082,Top GGGGG
23098,😔A MILLION OCT 7 OCCURRED FOR 75 YEARS  AND WE WERE SILENT SO THE SO CALLED CIVILIZED WORKD IS RESPONSIBLE FOR OCT 7 MORGAN😔
23151,Top G
23177,J
23248,Top G
23260,TOP G respect Button &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
23268,Master class
23280,Thanks Top G
23324,Top G
23326,Yes
23335,TATE IS THIER NIGHTMARE
23395,True TOP G!
23461,wHO IMPRISONED THEM? THE ARAB COUNTRIES IMPRISON THEM !! NOT ISRAEL
23462,Very professional
23515,Rare Tate L
23551,Part 3!!!!
23588,Thank you Top G.
23726,MR. PIERS DO YOU CONDEMN ISRAEL FOR WHAT THEY DID ON OCTOBER 7 THE KILLED THEIR OWN PEOPLE
23773,OMG HE&#39;S  NUTS
24019,Top G
24106,Wow
24137,AND THATS WHY HE IS THE TOP G
24150,is-rae-l crimi-nals
24152,Do one Tate osshead
24191,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m22s"">14:22</a> Tates response"
24267,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=25m59s"">25:59</a>"
24275,1917: Balfour !! !948 !!
24288,Controlled
24292,Top G
24320,WTF
24397,he&#39;s insane
24399,danko Tate
24408,Tate Vs. Tw*t
24419,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=21m28s"">21:28</a> THISSS"
24456,cool
24458,Tate for president
24465,complete goose
24623,Thanks top G
24626,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m48s"">2:48</a> LMAOOO HAHA"
24683,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m32s"">14:32</a>"
24732,Tate HUGE W
24740,Tate W
24799,Top G
24800,Tate for president 😂
24894,HIPPO PIERS L !
24910,FREE PALESTINE
24987,TOP G
25009,"Mr. Tate, I respect you"
25040,Top G
25096,News Flash:  HAMAS IS WORSE THAN EVIL.
25112,Top G ........ Great Job
25122,Top G
25180,My Top G .. Good Job
25207,😂😂😂
25233,Top G
25238,"&quot;THE WORLD IS NOT BLACK AND WHITE, IT&#39;S ACTUALLY VERY GRAY&quot;"
25257,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=30m00s"">30:00</a>"
25296,Lol two actors
25411,Wow..
25442,L tate here
25454,Top g
25542,Top G
25628,Tate win
25699,Tate &gt; Morgan.
25736,$wine
25739,Brave
25799,😂
25831,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=13m00s"">13:00</a> 😂😂😂😂"
25852,PIERS YOU ARE POOR !
25923,umgawa
26009,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m02s"">2:02</a> 😂😂😂😂"
26033,Top G! Top G! TOP G!!!
26072,Tate:Respekt!
26088,TopG!
26162,Much love top G
26191,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m30s"">14:30</a> 😂😂😂"
26278,...
26307,FREEEEE PALESTINE
26354,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=03m51s"">03:51</a>"
26387,I AM A HUMANIST😂😂PIMP
26403,NAKBA MY FRIEND. THAT IS WHAT ISRAEL DID 😂
26404,"Great interview, very entertaining."
26478,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=27m00s"">27:00</a>"
26504,Top G
26621,TOP FKN GGG
26689,Top G
26709,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m15s"">14:15</a>"
26711,I Love Sir
26733,LEVEL ARGUMENT S BY TATE SALUTE AND RESPECT BRO
26768,Thank you Mr Tate
26797,Yooooooooo
26823,😂
26832,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m48s"">22:48</a>"
26861,Lol
26876,😂😂😂😂😂😂😂😂😂😂😂😂
26878,Great conversation.
26885,On top G’s orders 😂😂
26907,TRUE WORDS
26913,Respect
26928,Tate 100%&amp;
26948,TOP G
27011,Top G
27025,Not my man Dr. J.Peterson
27029,TOP G
27031,Woaaahhh tate
27087,Like my comment.
27149,Top G
27159,Fake news
27171,TOP G
27182,Double standards
27188,IC Pro
27229,Nice man
27251,tate &lt;3
27257,Tate top G
27282,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m30s"">14:30</a>😂😂"
27300,😂sweetness
27466,top G
27473,Top G
27579,Love you Tate.
27655,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=27m50s"">27:50</a> 😂😂"
27663,Long live Top G
27665,FREEDOM FIGHTERS
27682,Bravo Tate!
27697,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m10s"">14:10</a>"
27714,Tate GOAT 🐐
27776,Islam= Peace
27779,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=31m18s"">31:18</a>-<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=31m28s"">31:28</a>"
27781,Bravo Tate
27823,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=12m33s"">12:33</a>"
28006,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m31s"">18:31</a>"
28032,Yup
28034,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m31s"">18:31</a>"
28038,Is IDF a terror group???
28067,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m31s"">18:31</a>"
28075,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m31s"">18:31</a>"
28110,Top G you tell him
28167,Respect Tate!!
28200,Unfollowed
28287,Uncommon Tate L
28320,Top G
28331,TOP GGGG
28361,PT 3 Pls😂
28379,FREE PALESTINE
28398,Top G
28560,Facing Evil
28608,My man ... Tate
28620,Top g
28707,Ty Tate
28715,I love it
28716,Two great men
28767,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=10m04s"">10:04</a> OMG stop it manipulator!"
28809,Well sad mr. Tate
28860,Rare tate win
28940,Thanks Tate
29041,It’s complicated
29117,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=17m43s"">17:43</a> perfect one"
29121,.
29132,FREE PALESTINEE
29140,Tate ignoring 7th October
29185,Boring
29210,Bravo top g
29230,Peddle assissinities
29282,WOW.
29302,Greate tate!!
29422,TOP G IS TWO SMART
29440,Tate slays bro
29451,FREE PALESTINE
29456,Silly
29466,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=23m13s"">23:13</a>"
29556,Top G for real
29598,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=29m10s"">29:10</a>"
29617,Thank you Tate
29619,Hat a tool
29649,Top G knows
29702,Nonsense 😅
29721,<b>GAME</b><br><br>“KO”
29850,Top g
29856,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=12m10s"">12:10</a> YESSS"
29873,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=1m53s"">1:53</a>"
29897,TOP G
29899,TOPGGGG!!!!
29902,TOP G
29906,TOP G
29911,TATE RESPECT BUTTON &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;
