Index,Index1,Comments
648,6586,.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>.<br><br>.<br><br><br><br><br>.<br><br><br>.<br><br><br>.<br><br><br>.
649,6604,Kylie&#39;s mom: GLOG<br>Kylie: VLOG MOMMY
650,6606,purse ALERT
651,6611,OKOK GOON
652,6629,Help my channel
653,6641,Glog
654,6677,I played your game it’s so fun!!
655,6683,very cool
656,6687,Hi
657,6689,i love you so much Kylie
658,6710,Same
659,6753,OMG soo cute
660,6784,"<a href=""https://youtu.be/lBfQRcAIA2k"">https://youtu.be/lBfQRcAIA2k</a>"
661,6785,https://youtu.be/07kcCjiGbXw
662,6789,notice me bae
663,6790,HEYY !!
664,6793,mwahhh
665,6794,i love your makeup !!
666,6816,stormi&#39;s mind:LEAVE ME ALONE I DO NOT WANT KISSES I WANNA WACH ELMO
667,6833,PLEASE DO ANOTHER ONE OF THESE VDEOSSS
668,6842,Baby
669,6870,I Love you
670,6873,"<a href=""https://youtu.be/qcKgl_FtjK0"">https://youtu.be/qcKgl_FtjK0</a>"
671,6877,Go  Kylie
672,6889,I love  you kylie
673,6915,OMG HAHAHAHAH
674,6940,makeup artist/ friend
675,6957,Hi Harry?
676,6965,Hi
677,6985,😂
678,6998,https://www.youtube.com/watch?v=i_cQRII7DTo&amp;t=1s
679,7004,exactly
680,7035,Nikita omg
681,7037,Stormi!!!!!!!
682,7041,nice
683,7090,&quot;glog&quot;
684,7117,Hi
685,7128,Kylie: Hi Harry....<br>Me :OK.
686,7131,"<a href=""https://youtu.be/8zNVwvMGTOc"">https://youtu.be/8zNVwvMGTOc</a>"
687,7160,HI kylie
688,7171,OHMY GOSH STORMI HAHAHAHA SO CUTE!
689,7192,"<a href=""https://youtu.be/tbSFxSc9DGE"">https://youtu.be/tbSFxSc9DGE</a>"
690,7194,%100 natural
691,7211,4 :10 WHAT IS THE SONG NAME ?
692,7230,STORMI&#39;S GLASSES YESSSS
693,7269,Tus carros
694,7283,HIIIIIIIII
695,7287,(Vlog)<br>Blog<br>(Vlog)<br>Glog
696,7292,I like her nails forever
697,7306,DONE
698,7330,i love you so much
699,7357,STORMI IS SOOOO CUTE!
700,7365,PPLEASE FORRRR MORE I LOVE UUU&lt;333
701,7369,https://youtu.be/7VjDIBEuDeU
702,7395,Love Kylie
703,7419,U r my fav
704,7450,i love you
705,7457,",,selfmade,,"
706,7499,CALLED ME POOR IN 1000000000000000 WAYS
707,7523,https://youtube.com/shorts/xmwcmMmTc30
708,7524,https://youtube.com/shorts/xmwcmMmTc30
709,7525,https://youtube.com/shorts/xmwcmMmTc30
710,7526,https://youtube.com/shorts/xmwcmMmTc30
711,7527,https://youtube.com/shorts/xmwcmMmTc30
712,7528,https://youtube.com/shorts/xmwcmMmTc30
713,7550,OMG! I LOVVVVVE YOUR HOME! YOUR WALK IN CLOSET!
714,7560,Love you  kylie
715,7573,Hola
716,7575,Nice
717,7578,Hi Kylie
718,7583,"<a href=""https://youtu.be/bTgMrffpOak"">https://youtu.be/bTgMrffpOak</a>"
719,7598,Hola
720,7599,I love you
721,7607,Your a great mum
722,7609,.
723,7630,I love you stormi
724,7631,I love you
725,7638,THE &#39;hi&#39; PLEASEEEE
726,7667,A
727,7672,Nikita?
728,7676,hola
729,7696,Hai
730,7710,Ridiculous.
731,7749,@
732,7760,😘
733,7767,Soooo much
734,7778,Dont scream
735,7779,Mine.
736,7780,Mine.
737,7781,Mine.
738,7783,"<a href=""https://www.youtube.com/watch?v=BO1lJDv4EGI"">https://www.youtube.com/watch?v=BO1lJDv4EGI</a>"
739,7798,Go
740,7799,Stay.
741,7800,Stay.
742,7801,Go
743,7802,Go
744,7803,Sleep.
745,7808,Stop
746,7810,Bad girl
747,7811,Stop
748,7812,Go
749,7813,Pls
750,7814,Sleep.
751,7815,Go
752,7816,Go
753,7818,Pls
