Index,Index1,Comments
577,14061,BEAUTIFUL LADY!!
578,14066,you&#39;re gorgeous (:
579,14082,WHAT IS THAT GREEN STOF ON YOUR FACE
580,14083,GO IN YOUR ROOM
581,14086,WHAT! WHAT HAPPENED!
582,14089,Your gorgeous
583,14094,YOU ARE BEAUTIFUL WITHOUT MAKEUP!!!!!!!!!! DONT BE AFRAID TO BE YOURSELF
584,14129,O.m.g
585,14158,So.much.foundation.
586,14178,OMG IS MAGIC ?
587,14200,chill
588,14208,I like you. You
589,14243,Very courageous!
590,14246,Wow
591,14270,so brave
592,14328,So brave..support u
593,14365,YOU ARE BEAUTIFUL 
594,14416,respect
595,14417,Omg -.-
596,14434,"perfect
"
597,14437,Wow
598,14438,BORING
599,14439,RESPECT!!! :D
600,14445,Visit my channel!!
601,14492,You&#39;re absolutely perfect.
602,14493,PROACTIVE BABBY! lol
603,14501,ROACUTAN!
604,14507,YOU LOOK LIKE TAYLOR SWIFT !!!
605,14529,Hey
606,14544,GORGEOUS!!
607,14563,"DANG UR PRETTY!!!!!!!!!!!
"
608,14573,God! So brave!!
609,14579,"wow girl
"
610,14589,You&#39;re gorgeous :)
611,14599,"So beauty :D
"
612,14607,MakeupHERO!! :)
613,14608,works*
614,14661,GOD YOU ARE PRETTY
615,14713,"YOU ARE VERY INSPIRING, AND VERY BRAVE FOR POSTING THIS. I LOVE YOU/"
616,14736,No JOKE
617,14739,Check out my channel!!
618,14747,you&#39;re so STRONG &lt;3
619,14780,YOUR EYES ARE BEAUTIFUL OMG
620,14801,use proactive... it REALLY helps!
621,14807,Work*
622,14812,Omg looove your eyes!
623,14825,wow! very impressive
624,14826,OH MY FUCKING GOD
625,14843,I love your eyes!!
626,14846,Giraffe
627,14849,She.looks.just like taylor.swift
628,14854,your beautyfull muy bonita.
629,14870,I LOVE your smile &lt;3
630,14887,SO BEAUTIFUL !!!!!!!!!!!!!!!!!!!!!!!!!!!! &lt;3 
631,14895,I LOVEEEEEEEE THIS VIDEO I CAN WATCH IT OVER AND OVER U DID AN AMAZING JOB I SUBSCRIBED TO UR CHANNEL
632,14904,BEEE-U-TIFULL! &lt;333333333333
633,14909,WOW
634,14910,i love your eyes &lt;3
635,14969,WOW
636,14997,STOP USING SO MUCH MAKEUP IT&#39;S BAD FOR YOUR SKIN
637,15005,Wow
638,15024,WOW
639,15031,you look beautyful.
640,15038,@april walsh
641,15077,"PANGET
"
642,15092,Your eyes &lt;3
643,15118,Great video!
644,15150,I wish I had your confidence :)
645,15173,girl your gorgeous
646,15182,ROACUTAN!
647,15192,Inspiring !!!!!!!
648,15220,CANNOT BE UNSEEN 0.0
649,15222,Very good!
650,15253,Respect.
651,15256,"woah:0

respect:0"
652,15258,Thanks for sharing. Ur gorgeous
653,15268,Respect.
654,15273,I solute you lol
655,15277,fuck acne
656,15292,To
657,15297,Your Brave!! :D 
658,15319,Stay strong!~
659,15324,AMAZING ! . ^_^
660,15358,thanks
661,15428,wow
662,15432,Brushes!!!
663,15449,Brave girl!
664,15495,YOU ARE BEAUTIFULLLLLLLLLLLLLLLLL.
665,15504,Check out my chanel
666,15526,Use proactive
667,15538,"Your Eyes *________________*
"
668,15543,omg
669,15546,YOUR EYES ARE GOURGOUS! 
670,15575,Ugly.
671,15582,"O_O IT&#39;S A TRAP !
"
672,15596,Respect !(:
673,15640,"hunny
"
674,15683,You so beautyful :)))&lt;3
675,15727,I love your eyes
676,15764,much respect!
677,15768,*ur face
678,15784,"Awwh,"
679,15830,1:16 Oo WTF
680,15832,1:16 Oo WTF
681,15862,don&#39;t cover
682,15935,"*facepalm*
"
